0.000,0,1 ms (variance: 0 ms),16316757.000,0.008,1.074,1756405860.743
0.000,0,1 ms (variance: 1 ms),15301105.000,0.033,0.719,1756405861.759
0.000,0,1 ms (variance: 0 ms),12839049.000,0.041,0.230,1756405862.776
34.667,0,1 ms (variance: 0 ms),11301068.000,0.020,0.388,1756405864.261
75.904,0,1 ms (variance: 0 ms),50110560.000,0.000,0.950,1756405865.544
96.026,0,1 ms (variance: 1 ms),549039872.000,0.000,0.000,1756405866.778
96.791,0,1 ms (variance: 1 ms),547788352.000,0.000,0.000,1756405868.662
96.629,0,1 ms (variance: 0 ms),546308928.000,0.000,0.000,1756405869.745
93.750,0,1 ms (variance: 0 ms),365659360.000,0.125,0.000,1756405870.795
92.188,0,1 ms (variance: 0 ms),257356336.000,0.100,0.000,1756405871.878
92.903,0,1 ms (variance: 0 ms),217196080.000,0.000,0.000,1756405873.378
94.792,0,1 ms (variance: 0 ms),255171664.000,0.000,0.100,1756405875.078
95.758,0,1 ms (variance: 1 ms),437727808.000,0.000,0.143,1756405876.127
94.340,0,1 ms (variance: 1 ms),299570304.000,0.000,0.000,1756405877.727
95.495,0,1 ms (variance: 1 ms),250842880.000,0.000,0.000,1756405879.828
97.398,0,1 ms (variance: 0 ms),433154016.000,0.143,0.000,1756405882.211
98.367,0,1 ms (variance: 0 ms),891657920.000,0.250,0.000,1756405883.911
96.610,0,1 ms (variance: 0 ms),530450656.000,0.000,0.000,1756405885.160
95.425,0,1 ms (variance: 0 ms),427533856.000,0.000,0.000,1756405886.461
98.089,0,1 ms (variance: 0 ms),1244502144.000,0.000,0.000,1756405887.778
95.745,0,1 ms (variance: 1 ms),526540416.000,0.000,0.167,1756405888.811
91.870,0,1 ms (variance: 0 ms),239452896.000,0.000,3.900,1756405889.826
93.496,0,1 ms (variance: 1 ms),346004640.000,0.000,4.750,1756405890.861
95.139,0,1 ms (variance: 0 ms),421570880.000,0.000,0.000,1756405892.228
96.795,0,1 ms (variance: 0 ms),666342336.000,0.000,0.000,1756405893.461
97.674,0,1 ms (variance: 0 ms),878932928.000,0.000,0.000,1756405895.094
98.433,0,1 ms (variance: 0 ms),519938560.000,0.000,0.000,1756405899.546
98.446,0,1 ms (variance: 0 ms),516899872.000,0.000,0.000,1756405901.228
95.556,0,1 ms (variance: 0 ms),334582464.000,0.000,0.000,1756405902.544
94.118,0,1 ms (variance: 1 ms),273716864.000,0.000,0.111,1756405903.778
92.086,0,1 ms (variance: 0 ms),185238832.000,0.000,0.091,1756405904.860
92.593,0,2 ms (variance: 1 ms),151740464.000,0.000,0.000,1756405906.477
75.949,0,1 ms (variance: 0 ms),17714832.000,0.026,0.000,1756405907.492
22.951,0,1 ms (variance: 0 ms),19358102.000,0.032,0.043,1756405908.510
0.000,0,1 ms (variance: 0 ms),1340014.250,0.025,0.041,1756405909.526
29.508,0,1 ms (variance: 0 ms),39028900.000,0.012,0.012,1756405910.543
54.098,0,1 ms (variance: 0 ms),18085558.000,0.000,0.339,1756405911.559
51.240,0,1 ms (variance: 0 ms),5444300.500,0.000,0.322,1756405912.561
54.400,0,1 ms (variance: 0 ms),12078751.000,0.000,0.018,1756405913.643
59.200,0,1 ms (variance: 0 ms),37742520.000,0.000,0.020,1756405914.643
53.226,0,1 ms (variance: 0 ms),6080784.500,0.500,0.603,1756405915.710
43.651,0,1 ms (variance: 0 ms),24949144.000,0.408,0.521,1756405916.743
44.262,0,1 ms (variance: 0 ms),34607908.000,0.000,0.029,1756405917.743
45.833,0,1 ms (variance: 0 ms),45246372.000,0.000,0.000,1756405918.743
27.049,0,1 ms (variance: 0 ms),275705.188,0.032,0.308,1756405919.147
