2.300,4.900,2.522,1756405828.359
2.300,4.900,2.581,1756405829.376
2.400,3.900,2.555,1756405830.392
2.400,3.800,2.519,1756405831.409
2.400,3.200,2.511,1756405832.425
2.400,3.200,2.489,1756405833.425
2.400,2.700,2.478,1756405834.426
2.400,2.800,2.493,1756405835.442
2.400,2.800,2.488,1756405836.442
2.400,2.800,2.481,1756405837.459
2.400,2.700,2.479,1756405838.476
2.400,2.800,2.486,1756405839.492
2.400,2.800,2.500,1756405840.509
2.400,2.700,2.496,1756405841.509
2.400,2.800,2.486,1756405842.526
2.400,2.800,2.493,1756405843.542
2.400,2.800,2.502,1756405844.559
2.400,2.800,2.502,1756405845.575
2.400,2.800,2.491,1756405846.576
2.400,2.800,2.498,1756405847.575
2.400,3.200,2.508,1756405848.592
2.400,3.200,2.501,1756405849.592
2.400,2.800,2.499,1756405850.609
2.400,2.800,2.498,1756405851.625
2.400,2.800,2.476,1756405852.626
2.400,2.700,2.472,1756405853.643
2.400,2.900,2.505,1756405854.659
2.400,2.900,2.501,1756405855.676
2.400,2.700,2.470,1756405856.692
2.400,3.000,2.482,1756405857.709
2.400,3.000,2.489,1756405858.725
2.400,2.800,2.484,1756405859.743
2.400,3.100,2.502,1756405860.743
2.400,3.100,2.516,1756405861.759
2.400,3.000,2.521,1756405862.776
2.400,4.300,2.552,1756405864.261
2.400,4.300,2.705,1756405865.544
4.100,4.300,4.167,1756405866.778
4.100,4.300,4.200,1756405868.662
4.100,4.700,4.283,1756405869.745
2.600,4.700,4.050,1756405870.795
2.600,4.300,3.860,1756405871.878
2.600,4.400,3.745,1756405873.378
2.600,4.400,3.860,1756405875.078
2.600,4.400,3.957,1756405876.127
2.600,4.300,4.011,1756405877.727
2.600,4.500,4.050,1756405879.828
2.600,4.500,4.029,1756405882.211
4.100,4.400,4.250,1756405883.911
2.700,4.200,3.500,1756405885.160
2.700,4.200,3.586,1756405886.461
4.100,4.300,4.200,1756405887.778
2.600,4.300,3.533,1756405888.811
2.500,4.400,3.470,1756405889.826
2.500,4.400,3.575,1756405890.861
2.500,4.200,3.500,1756405892.228
2.700,4.200,3.580,1756405893.461
4.200,4.400,4.275,1756405895.094
2.500,4.400,3.933,1756405899.546
2.500,4.300,3.840,1756405901.228
2.600,4.300,3.800,1756405902.544
2.600,4.300,3.711,1756405903.778
2.900,4.300,3.955,1756405904.860
2.900,4.300,3.875,1756405906.477
2.500,4.200,2.861,1756405907.492
2.400,4.200,2.638,1756405908.510
2.400,2.900,2.566,1756405909.526
2.400,4.200,2.585,1756405910.543
2.400,4.400,2.671,1756405911.559
2.400,4.400,2.664,1756405912.561
2.400,4.200,2.753,1756405913.643
2.500,4.400,2.876,1756405914.643
2.500,4.400,2.834,1756405915.710
2.500,4.400,2.737,1756405916.743
2.500,4.400,2.704,1756405917.743
2.400,4.200,2.686,1756405918.743
2.300,6.700,2.618,1756405919.147
