1756405699.344210,4,152,0,38,0,2,0,0
1756405699.344216,4,153,0,38,0,3,0,0
1756405699.344258,4,154,0,38,0,4,0,0
1756405699.344264,4,155,0,38,0,5,0,0
1756405699.344270,4,156,0,38,0,6,0,0
1756405699.344278,4,157,0,38,0,7,0,0
1756405699.344306,4,158,0,38,0,8,0,0
1756405699.344313,4,159,0,38,0,9,0,0
1756405699.344361,4,160,0,38,0,10,0,0
1756405699.344420,4,161,0,38,0,11,0,0
1756405699.344427,4,162,0,38,0,12,0,0
1756405699.344433,4,163,0,38,0,13,0,0
1756405699.344480,4,164,0,38,0,14,0,0
1756405699.344487,4,165,0,38,0,15,0,0
1756405699.344493,4,166,0,38,0,16,0,0
1756405699.344533,4,167,0,38,0,17,0,0
1756405699.344540,4,168,0,38,0,18,0,0
1756405699.344546,4,169,0,38,0,19,0,0
1756405699.344584,4,170,0,38,0,20,0,0
1756405699.344590,4,171,0,38,0,21,0,0
1756405699.344639,4,172,0,38,0,22,0,0
1756405699.344646,4,173,0,38,0,23,0,0
1756405699.344697,4,174,0,38,0,24,0,0
1756405699.344702,4,175,0,38,0,25,0,0
1756405699.344756,4,176,0,38,0,26,0,0
1756405699.344762,4,177,0,38,0,27,0,0
1756405699.344769,4,178,0,38,0,28,0,0
1756405699.344815,4,179,0,38,0,29,0,0
1756405699.344821,4,180,0,38,0,30,0,0
1756405699.344827,4,181,0,38,0,31,0,0
1756405699.344874,4,182,0,38,0,32,0,0
1756405699.344880,4,183,0,38,0,33,0,0
1756405699.344888,4,184,0,38,0,34,0,0
1756405699.344935,4,185,0,38,0,35,0,0
1756405699.344941,4,186,0,38,0,36,0,0
1756405699.344949,4,187,0,38,0,37,0,0
1756405699.344989,4,188,0,38,0,38,0,0
1756405699.361090,5,197,0,38,0,1,0,0
1756405699.361147,5,198,0,38,0,2,0,0
1756405699.361156,5,199,0,38,0,3,0,0
1756405699.361163,5,200,0,38,0,4,0,0
1756405699.361194,5,201,0,38,0,5,0,0
1756405699.361202,5,202,0,38,0,6,0,0
1756405699.361248,5,203,0,38,0,7,0,0
1756405699.361255,5,204,0,38,0,8,0,0
1756405699.361301,5,205,0,38,0,9,0,0
1756405699.361312,5,206,0,38,0,10,0,0
1756405699.361358,5,207,0,38,0,11,0,0
1756405699.361366,5,208,0,38,0,12,0,0
1756405699.361376,5,209,0,38,0,13,0,0
1756405699.361413,5,210,0,38,0,14,0,0
1756405699.361419,5,211,0,38,0,15,0,0
1756405699.361472,5,212,0,38,0,16,0,0
1756405699.361476,5,213,0,38,0,17,0,0
1756405699.361481,5,214,0,38,0,18,0,0
1756405699.361537,5,215,0,38,0,19,0,0
1756405699.361561,5,216,0,38,0,20,0,0
1756405699.361574,5,217,0,38,0,21,0,0
1756405699.361595,5,218,0,38,0,22,0,0
1756405699.361600,5,219,0,38,0,23,0,0
1756405699.361608,5,220,0,38,0,24,0,0
1756405699.361651,5,221,0,38,0,25,0,0
1756405699.361657,5,222,0,38,0,26,0,0
1756405699.361710,5,223,0,38,0,27,0,0
1756405699.361714,5,224,0,38,0,28,0,0
1756405699.361719,5,225,0,38,0,29,0,0
1756405699.361761,5,226,0,38,0,30,0,0
1756405699.361766,5,227,0,38,0,31,0,0
1756405699.361771,5,228,0,38,0,32,0,0
1756405699.361819,5,229,0,38,0,33,0,0
1756405699.361879,5,230,0,38,0,34,0,0
1756405699.361886,5,231,0,38,0,35,0,0
1756405699.361890,5,232,0,38,0,36,0,0
1756405699.361894,5,233,0,38,0,37,0,0
1756405699.361927,5,234,0,38,0,38,0,0
1756405699.378168,6,243,0,38,0,1,0,0
1756405699.378210,6,244,0,38,0,2,0,0
1756405699.378367,6,245,0,38,0,3,0,0
1756405699.378421,6,246,0,38,0,4,0,0
1756405699.378427,6,247,0,38,0,5,0,0
1756405699.378481,6,248,0,38,0,6,0,0
1756405699.378487,6,249,0,38,0,7,0,0
1756405699.378491,6,250,0,38,0,8,0,0
1756405699.378535,6,251,0,38,0,9,0,0
1756405699.378540,6,252,0,38,0,10,0,0
1756405699.378544,6,253,0,38,0,11,0,0
1756405699.378586,6,254,0,38,0,12,0,0
1756405699.378591,6,255,0,38,0,13,0,0
1756405699.378641,6,256,0,38,0,14,0,0
1756405699.378648,6,257,0,38,0,15,0,0
1756405699.378699,6,258,0,38,0,16,0,0
1756405699.378703,6,259,0,38,0,17,0,0
1756405699.378758,6,260,0,38,0,18,0,0
1756405699.378763,6,261,0,38,0,19,0,0
1756405699.378773,6,262,0,38,0,20,0,0
1756405699.378817,6,263,0,38,0,21,0,0
1756405699.378822,6,264,0,38,0,22,0,0
1756405699.378826,6,265,0,38,0,23,0,0
1756405699.378872,6,266,0,38,0,24,0,0
1756405699.378876,6,267,0,38,0,25,0,0
1756405699.378880,6,268,0,38,0,26,0,0
1756405699.378921,6,269,0,38,0,27,0,0
1756405699.378926,6,270,0,38,0,28,0,0
1756405699.378930,6,271,0,38,0,29,0,0
1756405699.378975,6,272,0,38,0,30,0,0
1756405699.378979,6,273,0,38,0,31,0,0
1756405699.379030,6,274,0,38,0,32,0,0
1756405699.379035,6,275,0,38,0,33,0,0
1756405699.379088,6,276,0,38,0,34,0,0
1756405699.379092,6,277,0,38,0,35,0,0
1756405699.379148,6,278,0,38,0,36,0,0
1756405699.379153,6,279,0,38,0,37,0,0
1756405699.379157,6,280,0,38,0,38,0,0
1756405699.381296,7,289,0,45,0,1,0,0
1756405699.381346,7,290,0,45,0,2,0,0
1756405699.381352,7,291,0,45,0,3,0,0
1756405699.381356,7,292,0,45,0,4,0,0
1756405699.381401,7,293,0,45,0,5,0,0
1756405699.381556,7,294,0,45,0,6,0,0
1756405699.381611,7,295,0,45,0,7,0,0
1756405699.381616,7,296,0,45,0,8,0,0
1756405699.381629,7,297,0,45,0,9,0,0
1756405699.381663,7,298,0,45,0,10,0,0
1756405699.381668,7,299,0,45,0,11,0,0
1756405699.381782,7,300,0,45,0,12,0,0
1756405699.381786,7,301,0,45,0,13,0,0
1756405699.381791,7,302,0,45,0,14,0,0
1756405699.381795,7,303,0,45,0,15,0,0
1756405699.381836,7,304,0,45,0,16,0,0
1756405699.381843,7,305,0,45,0,17,0,0
1756405699.381847,7,306,0,45,0,18,0,0
1756405699.381896,7,307,0,45,0,19,0,0
1756405699.381903,7,308,0,45,0,20,0,0
1756405699.381907,7,309,0,45,0,21,0,0
1756405699.381949,7,310,0,45,0,22,0,0
1756405699.381955,7,311,0,45,0,23,0,0
1756405699.381959,7,312,0,45,0,24,0,0
1756405699.382001,7,313,0,45,0,25,0,0
1756405699.382007,7,314,0,45,0,26,0,0
1756405699.382055,7,315,0,45,0,27,0,0
1756405699.382084,7,316,0,45,0,28,0,0
1756405699.382088,7,317,0,45,0,29,0,0
1756405699.382110,7,318,0,45,0,30,0,0
1756405699.382117,7,319,0,45,0,31,0,0
1756405699.382168,7,320,0,45,0,32,0,0
1756405699.382172,7,321,0,45,0,33,0,0
1756405699.382223,7,322,0,45,0,34,0,0
1756405699.382284,7,323,0,45,0,35,0,0
1756405699.382288,7,324,0,45,0,36,0,0
1756405699.382294,7,325,0,45,0,37,0,0
1756405699.382298,7,326,0,45,0,38,0,0
1756405699.382346,7,327,0,45,0,39,0,0
1756405699.382351,7,328,0,45,0,40,0,0
1756405699.382356,7,329,0,45,0,41,0,0
1756405699.382410,7,330,0,45,0,42,0,0
1756405699.382415,7,331,0,45,0,43,0,0
1756405699.382419,7,332,0,45,0,44,0,0
1756405699.382476,7,333,0,45,0,45,0,0
1756405699.394131,8,343,0,40,0,1,0,0
1756405699.394168,8,344,0,40,0,2,0,0
1756405699.394178,8,345,0,40,0,3,0,0
1756405699.394221,8,346,0,40,0,4,0,0
1756405699.394226,8,347,0,40,0,5,0,0
1756405699.394276,8,348,0,40,0,6,0,0
1756405699.394280,8,349,0,40,0,7,0,0
